variable,field_name,unit,transform,bin_index,lower_transformed,upper_transformed,row_count
Mean predator length,mean_length_cm,cm,identity,4,128.14666666666668,160.15583333333333,76
Mean predator length,mean_length_cm,cm,identity,5,160.15583333333333,192.16500000000002,12
Mean predator length,mean_length_cm,cm,identity,6,192.16500000000002,224.17416666666668,12
Mean predator length,mean_length_cm,cm,identity,7,224.17416666666668,256.18333333333334,1
Mean predator length,mean_length_cm,cm,identity,8,256.18333333333334,288.1925,2
Mean predator length,mean_length_cm,cm,identity,9,288.1925,320.20166666666665,0
Mean predator length,mean_length_cm,cm,identity,10,320.20166666666665,352.2108333333333,1
Mean predator length,mean_length_cm,cm,identity,11,352.2108333333333,384.22,1
Mean predator length,mean_length_cm,cm,identity,12,384.22,416.2291666666667,0
Mean predator length,mean_length_cm,cm,identity,13,416.2291666666667,448.23833333333334,2
Mean predator length,mean_length_cm,cm,identity,14,448.23833333333334,480.2475,0
Mean predator length,mean_length_cm,cm,identity,15,480.2475,512.2566666666667,0
Mean predator length,mean_length_cm,cm,identity,16,512.2566666666667,544.2658333333334,0
Mean predator length,mean_length_cm,cm,identity,17,544.2658333333334,576.275,0
Mean predator length,mean_length_cm,cm,identity,18,576.275,608.2841666666667,1
Mean predator length,mean_length_cm,cm,identity,19,608.2841666666667,640.2933333333333,0
Mean predator length,mean_length_cm,cm,identity,20,640.2933333333333,672.3025,0
Mean predator length,mean_length_cm,cm,identity,21,672.3025,704.3116666666666,0
Mean predator length,mean_length_cm,cm,identity,22,704.3116666666666,736.3208333333333,0
Mean predator length,mean_length_cm,cm,identity,23,736.3208333333333,768.33,1
Stomachs represented,num_stomachs,count,signed_log10_1p,0,0.3010299956639812,0.4345801774951539,123767
Stomachs represented,num_stomachs,count,signed_log10_1p,1,0.4345801774951539,0.5681303593263266,1217
Stomachs represented,num_stomachs,count,signed_log10_1p,2,0.5681303593263266,0.7016805411574993,1495
Stomachs represented,num_stomachs,count,signed_log10_1p,3,0.7016805411574993,0.835230722988672,569
Stomachs represented,num_stomachs,count,signed_log10_1p,4,0.835230722988672,0.9687809048198448,1026
Stomachs represented,num_stomachs,count,signed_log10_1p,5,0.9687809048198448,1.1023310866510174,740
Stomachs represented,num_stomachs,count,signed_log10_1p,6,1.1023310866510174,1.23588126848219,567
Stomachs represented,num_stomachs,count,signed_log10_1p,7,1.23588126848219,1.3694314503133629,548
Stomachs represented,num_stomachs,count,signed_log10_1p,8,1.3694314503133629,1.5029816321445355,537
Stomachs represented,num_stomachs,count,signed_log10_1p,9,1.5029816321445355,1.6365318139757083,502
Stomachs represented,num_stomachs,count,signed_log10_1p,10,1.6365318139757083,1.770081995806881,399
Stomachs represented,num_stomachs,count,signed_log10_1p,11,1.770081995806881,1.9036321776380536,289
Stomachs represented,num_stomachs,count,signed_log10_1p,12,1.9036321776380536,2.0371823594692264,255
Stomachs represented,num_stomachs,count,signed_log10_1p,13,2.0371823594692264,2.170732541300399,190
Stomachs represented,num_stomachs,count,signed_log10_1p,14,2.170732541300399,2.3042827231315717,150
Stomachs represented,num_stomachs,count,signed_log10_1p,15,2.3042827231315717,2.4378329049627445,140
Stomachs represented,num_stomachs,count,signed_log10_1p,16,2.4378329049627445,2.5713830867939174,85
Stomachs represented,num_stomachs,count,signed_log10_1p,17,2.5713830867939174,2.7049332686250898,85
Stomachs represented,num_stomachs,count,signed_log10_1p,18,2.7049332686250898,2.8384834504562626,37
Stomachs represented,num_stomachs,count,signed_log10_1p,19,2.8384834504562626,2.9720336322874354,20
Stomachs represented,num_stomachs,count,signed_log10_1p,20,2.9720336322874354,3.105583814118608,19
Stomachs represented,num_stomachs,count,signed_log10_1p,21,3.105583814118608,3.2391339959497807,8
Stomachs represented,num_stomachs,count,signed_log10_1p,22,3.2391339959497807,3.3726841777809535,1
Stomachs represented,num_stomachs,count,signed_log10_1p,23,3.3726841777809535,3.506234359612126,1
Empty stomachs,num_empty,count,signed_log10_1p,0,0.0,0.14321317054366994,91705
Empty stomachs,num_empty,count,signed_log10_1p,1,0.14321317054366994,0.2864263410873399,1
Empty stomachs,num_empty,count,signed_log10_1p,2,0.2864263410873399,0.42963951163100983,37989
Empty stomachs,num_empty,count,signed_log10_1p,3,0.42963951163100983,0.5728526821746798,527
Empty stomachs,num_empty,count,signed_log10_1p,4,0.5728526821746798,0.7160658527183497,533
Empty stomachs,num_empty,count,signed_log10_1p,5,0.7160658527183497,0.8592790232620197,310
Empty stomachs,num_empty,count,signed_log10_1p,6,0.8592790232620197,1.0024921938056897,246
Empty stomachs,num_empty,count,signed_log10_1p,7,1.0024921938056897,1.1457053643493595,180
Empty stomachs,num_empty,count,signed_log10_1p,8,1.1457053643493595,1.2889185348930294,201
Empty stomachs,num_empty,count,signed_log10_1p,9,1.2889185348930294,1.4321317054366993,220
Empty stomachs,num_empty,count,signed_log10_1p,10,1.4321317054366993,1.5753448759803694,202
Empty stomachs,num_empty,count,signed_log10_1p,11,1.5753448759803694,1.7185580465240393,152
Empty stomachs,num_empty,count,signed_log10_1p,12,1.7185580465240393,1.8617712170677092,73
Empty stomachs,num_empty,count,signed_log10_1p,13,1.8617712170677092,2.0049843876113793,87
Empty stomachs,num_empty,count,signed_log10_1p,14,2.0049843876113793,2.148197558155049,41
Empty stomachs,num_empty,count,signed_log10_1p,15,2.148197558155049,2.291410728698719,21
Empty stomachs,num_empty,count,signed_log10_1p,16,2.291410728698719,2.434623899242389,26
Empty stomachs,num_empty,count,signed_log10_1p,17,2.434623899242389,2.577837069786059,13
Empty stomachs,num_empty,count,signed_log10_1p,18,2.577837069786059,2.721050240329729,12
Empty stomachs,num_empty,count,signed_log10_1p,19,2.721050240329729,2.8642634108733986,2
Empty stomachs,num_empty,count,signed_log10_1p,20,2.8642634108733986,3.0074765814170688,5
Empty stomachs,num_empty,count,signed_log10_1p,21,3.0074765814170688,3.150689751960739,0
Empty stomachs,num_empty,count,signed_log10_1p,22,3.150689751960739,3.2939029225044085,1
Empty stomachs,num_empty,count,signed_log10_1p,23,3.2939029225044085,3.4371160930480786,1
Minimum prey number,min_num,count,signed_log10_1p,0,0.0,0.23998335909391266,15
Minimum prey number,min_num,count,signed_log10_1p,1,0.23998335909391266,0.4799667181878253,233506
Minimum prey number,min_num,count,signed_log10_1p,2,0.4799667181878253,0.719950077281738,13892
Minimum prey number,min_num,count,signed_log10_1p,3,0.719950077281738,0.9599334363756507,11037
Minimum prey number,min_num,count,signed_log10_1p,4,0.9599334363756507,1.1999167954695633,7001
Minimum prey number,min_num,count,signed_log10_1p,5,1.1999167954695633,1.439900154563476,5651
Minimum prey number,min_num,count,signed_log10_1p,6,1.439900154563476,1.6798835136573886,3504
Minimum prey number,min_num,count,signed_log10_1p,7,1.6798835136573886,1.9198668727513013,2378
Minimum prey number,min_num,count,signed_log10_1p,8,1.9198668727513013,2.1598502318452137,1730
Minimum prey number,min_num,count,signed_log10_1p,9,2.1598502318452137,2.3998335909391266,1188
Minimum prey number,min_num,count,signed_log10_1p,10,2.3998335909391266,2.6398169500330395,794
Minimum prey number,min_num,count,signed_log10_1p,11,2.6398169500330395,2.879800309126952,751
Minimum prey number,min_num,count,signed_log10_1p,12,2.879800309126952,3.1197836682208644,436
Minimum prey number,min_num,count,signed_log10_1p,13,3.1197836682208644,3.3597670273147773,367
Minimum prey number,min_num,count,signed_log10_1p,14,3.3597670273147773,3.59975038640869,230
Minimum prey number,min_num,count,signed_log10_1p,15,3.59975038640869,3.8397337455026026,160
Minimum prey number,min_num,count,signed_log10_1p,16,3.8397337455026026,4.079717104596515,156
Minimum prey number,min_num,count,signed_log10_1p,17,4.079717104596515,4.3197004636904275,112
Minimum prey number,min_num,count,signed_log10_1p,18,4.3197004636904275,4.559683822784341,77
Minimum prey number,min_num,count,signed_log10_1p,19,4.559683822784341,4.799667181878253,40
Minimum prey number,min_num,count,signed_log10_1p,20,4.799667181878253,5.039650540972166,42
Minimum prey number,min_num,count,signed_log10_1p,21,5.039650540972166,5.279633900066079,33
Minimum prey number,min_num,count,signed_log10_1p,22,5.279633900066079,5.5196172591599915,11
Minimum prey number,min_num,count,signed_log10_1p,23,5.5196172591599915,5.759600618253904,6
Calculated prey weight,cpw,g,signed_log10_1p,0,0.0,0.2485791947739505,190537
Calculated prey weight,cpw,g,signed_log10_1p,1,0.2485791947739505,0.497158389547901,23189
Calculated prey weight,cpw,g,signed_log10_1p,2,0.497158389547901,0.7457375843218514,21276
Calculated prey weight,cpw,g,signed_log10_1p,3,0.7457375843218514,0.994316779095802,12919
Calculated prey weight,cpw,g,signed_log10_1p,4,0.994316779095802,1.2428959738697525,10628
Calculated prey weight,cpw,g,signed_log10_1p,5,1.2428959738697525,1.4914751686437029,6982
Calculated prey weight,cpw,g,signed_log10_1p,6,1.4914751686437029,1.7400543634176535,6213
Calculated prey weight,cpw,g,signed_log10_1p,7,1.7400543634176535,1.988633558191604,4885
Calculated prey weight,cpw,g,signed_log10_1p,8,1.988633558191604,2.2372127529655543,3106
Calculated prey weight,cpw,g,signed_log10_1p,9,2.2372127529655543,2.485791947739505,1603
Calculated prey weight,cpw,g,signed_log10_1p,10,2.485791947739505,2.7343711425134556,729
Calculated prey weight,cpw,g,signed_log10_1p,11,2.7343711425134556,2.9829503372874058,473
Calculated prey weight,cpw,g,signed_log10_1p,12,2.9829503372874058,3.2315295320613564,278
Calculated prey weight,cpw,g,signed_log10_1p,13,3.2315295320613564,3.480108726835307,147
Calculated prey weight,cpw,g,signed_log10_1p,14,3.480108726835307,3.728687921609257,82
Calculated prey weight,cpw,g,signed_log10_1p,15,3.728687921609257,3.977267116383208,32
Calculated prey weight,cpw,g,signed_log10_1p,16,3.977267116383208,4.2258463111571585,17
Calculated prey weight,cpw,g,signed_log10_1p,17,4.2258463111571585,4.474425505931109,9
Calculated prey weight,cpw,g,signed_log10_1p,18,4.474425505931109,4.72300470070506,4
Calculated prey weight,cpw,g,signed_log10_1p,19,4.72300470070506,4.97158389547901,2
Calculated prey weight,cpw,g,signed_log10_1p,20,4.97158389547901,5.22016309025296,3
Calculated prey weight,cpw,g,signed_log10_1p,21,5.22016309025296,5.468742285026911,0
Calculated prey weight,cpw,g,signed_log10_1p,22,5.468742285026911,5.717321479800861,1
Calculated prey weight,cpw,g,signed_log10_1p,23,5.717321479800861,5.9659006745748115,2
