prey_name,prey_tsn,prey_rows,total_min_num,total_cpw
Empty,-99901.0,33811,109896.0,0.0
SAN,171671.0,7937,11162.0,29902.408056238724
Pseudocalanus elongatus-Adult (Female),85370.0,7076,7076.0,0.38210399999998984
Fish remains,161105.0,5336,8419.0,237857.51706355906
EH-Empty,-99901.0,4966,4967.0,0.0
EH-Euphausids,95573.0,4635,14139.0,1473.353052884374
Unidentified copepod-Copepodite 1-3,85257.0,4373,4373.0,0.2842450000000055
Copepod,85258.0,3591,50448.0,80.5150080000019
Digested remains,-99904.0,3391,9748.0,6858.239851940053
Sandeel,171671.0,2849,4573.0,9997.027611594036
Polychaete,64358.0,2748,23228.0,13215.194427704988
EH-Fish remains,161105.0,2724,2895.0,233977.45679633535
Unidentified copepod-Copepodite 4-5,85257.0,2499,2499.0,0.16243500000000236
Crustacean remains,83677.0,2483,11737.0,6734.268068000053
Temora sp.-Adult (Male),85874.0,2309,2309.0,0.14546699999999657
Temora sp.-Adult (Female),85874.0,2302,2302.0,0.14502599999999652
Crustacean,83677.0,2296,2350.0,1348.3453999999704
Crab,98670.0,2021,3353.0,2476.1918386934144
Amphipod,93294.0,1982,63442.0,4567.824000000009
Unidentifiable (ui),-99904.0,1947,1949.0,1371.2258384425631
Ophiuroid,157382.0,1931,7242.0,3989.689094941804
Crangon,97106.0,1893,3149.0,2251.215081529934
ui fish,161105.0,1826,1888.0,17750.467186964026
Calanoid copepod-Adult (Unsexed),85263.0,1780,1780.0,2.840880000000047
Calanoid copepod,85263.0,1747,256426.0,409.25589600000745
Euphausid,95500.0,1572,34562.0,3601.5296848285157
Hyperiid amphipod,95108.0,1437,36911.0,2809.6227380496116
Euphausiid,95500.0,1407,34771.0,3623.308508511423
CSH,97118.0,1362,2077.0,1484.8439899452765
EH Empty,-99901.0,1314,1314.0,0.0
