predator_name,predator_tsn,predator_rows,total_stomachs,avg_mean_length_cm
COD,164712.0,32610,78956.0,56.41324028062391
WHG,164758.0,22671,36173.0,24.427767349133195
DAB,172881.0,10080,24504.0,20.762332269686276
PLE,172902.0,9628,44180.0,27.847136109918694
HAD,164744.0,8694,21225.0,37.362671326754445
MAC,172414.0,5933,7535.0,33.23487434643277
GUG,167044.0,5929,8892.0,22.09211067181747
MEG,172835.0,3870,3926.0,32.10078954180689
HER,161722.0,2816,77457.0,15.682634523809476
WEL,630409.0,2355,2709.0,11.955922226944327
HKE,164795.0,2187,12116.0,40.5015567765568
SPR,161789.0,1848,5079.0,9.32042349726778
POK,164727.0,1316,6494.0,55.95042748091603
WHB,164774.0,1212,2733.0,21.081732673267336
SOL,173002.0,1125,4061.0,27.87096577821652
MON,164501.0,1006,3168.0,42.15485144927536
TRS,161997.0,965,7304.0,29.176963232710442
NSSH,161722.0,962,962.0,33.947505197505194
HOM,168588.0,958,1103.0,22.770840292275217
POD,164754.0,919,6783.0,15.222875816993467
DGS,160617.0,896,2955.0,69.01231638418076
LSD,160065.0,882,4734.0,50.34147084492449
LEM,172888.0,858,6723.0,26.04471024571159
THR,160901.0,601,4363.0,51.9194444444444
GUR,692071.0,589,1132.0,23.561354191931432
NOP,164756.0,587,9099.0,10.480360205831914
FLE,172894.0,536,6068.0,18.59405999999999
PLA,172877.0,477,2527.0,18.336482084690555
JOD,166287.0,421,499.0,32.60976190476191
ISSH,161722.0,399,399.0,32.77944862155388
