SEA,DECADE,unique_predator_prey_pairs,prey_records
North Sea,1970,2012,14620
North Sea,1900,1946,7200
North Sea,1990,1061,31022
Irish Sea,1980,1047,7832
North Sea,2000,997,37835
Celtic Sea,1990,866,6648
North Sea,1880,789,3548
Channel,1910,778,2505
North Sea,1980,619,8465
Irish Sea,2010,587,4073
Freshwater,1960,583,1359
Celtic Sea,2010,577,2670
North Sea,1890,556,2904
Irish Sea,1950,547,1346
North Sea,1960,514,3699
Celtic Sea,1980,502,10124
North Sea,1950,449,3406
Channel,1930,446,1513
Freshwater,1930,413,731
North Sea,2010,412,5066
W Ireland,1980,387,1001
Channel,1920,345,1084
Spitzbergen (Greenland Sea),1950,338,15047
Irish Sea,1970,337,1982
North Sea,1930,335,2485
Irish Sea,2000,327,4148
W Scotland,1960,312,771
Channel,1990,281,566
W Ireland,1970,277,1233
Irish Sea,1910,269,270
North Sea,1920,267,2753
Channel,2000,267,1118
Celtic Sea,1970,265,930
Irish Sea,1960,265,2015
Skagerrak,1980,238,446
Freshwater,1970,235,492
Irish Sea,1900,208,505
Channel,2010,202,1139
Channel,1980,182,381
W Scotland,1980,178,615
Biscay,1990,166,571
W Scotland,1990,162,216
Spitzbergen (Greenland Sea),1940,158,4093
Irish Sea,1890,154,435
Faeroes,1960,146,1863
Freshwater,1940,139,281
Freshwater,1950,139,1607
Freshwater,1980,134,391
Channel,1900,126,1007
Freshwater,1920,121,1218
W Scotland,1900,107,114
Spitzbergen (Greenland Sea),1930,101,520
W Scotland,1950,99,433
Barents Sea,1950,99,1688
Rockall,1960,95,109
Norwegian Sea,2000,94,2939
Kattegat,2010,94,1156
E Greenland,1950,92,1241
W Scotland,1970,91,223
W Scotland,1930,83,481
Baltic,1930,81,83
Norwegian Sea,1970,81,160
Norwegian Sea,1940,79,494
Celtic Sea,2000,79,257
Faeroes,1950,78,385
Celtic Sea,1960,71,174
Kattegat,1920,70,444
Freshwater,1990,65,776
Biscay,1980,64,751
W Scotland,1880,57,237
Irish Sea,1920,56,352
Barents Sea,1930,47,168
North Sea,1910,47,175
Skagerrak,1990,46,75
Channel,1970,44,51
Spitzbergen (Greenland Sea),1960,43,840
Norwegian Sea,1960,42,119
Irish Sea,1990,42,63
Channel,1960,41,223
Norwegian Sea,1990,40,205
Barents Sea,1960,40,243
Irish Sea,2020,38,168
Iceland,1930,37,96
North Sea,2020,37,211
Baltic,1920,36,132
E Greenland,1960,36,139
E Greenland,2010,35,1521
Kattegat,1910,32,90
Iceland,2010,30,1692
Faeroes,1990,28,171
Norwegian Sea,1980,27,183
Labrador Sea,1960,27,366
Norwegian Sea,1950,26,363
Channel,2020,24,85
Irish Sea,1830,24,30
Norwegian Sea,1930,23,43
Norwegian Sea,2010,21,1087
Kattegat,1950,21,266
W Ireland,1990,18,29
Celtic Sea,1920,18,41
W Scotland,1920,17,17
W Ireland,1920,17,62
Baltic,1980,15,25
Celtic Sea,2020,15,56
Irish Sea,1930,15,68
W Ireland,1950,15,16
Channel,1880,14,35
Channel,1940,13,195
W Ireland,2010,13,38
Freshwater,1910,11,13
Iceland,1950,11,11
Celtic Sea,1880,10,22
W Scotland,1890,10,11
North Sea,1940,10,15
Biscay,2010,9,86
Barents Sea,1940,9,15
E Greenland,2000,9,44
Iceland,2000,9,51
Biscay,1970,9,44
Rockall,1920,8,8
Baltic,1900,8,38
Barents Sea,1900,6,8
W Scotland,1940,6,6
W Ireland,1930,6,6
Channel,1950,5,5
Celtic Sea,1950,4,4
North Atlantic,2010,4,18
Irish Sea,1840,3,3
W Ireland,1960,3,9
North Sea,1850,2,2
North Sea,1830,2,2
Channel,1890,1,1
Kattegat,1900,1,1
North Sea,1840,1,1
Baltic,1910,1,3
