qual_code,qual_description,prey_rows,total_min_num
Q1,NONE,246642,2.3903421E7
Q6,ADULT-FEMALE,9414,9414.0
Q9,COPEPODITE 1-3,4379,4379.0
Q5,ADULT,4353,14542.0
Q4,EGGS,4341,189698.1
Q2,LARVAE,4175,399618.0
Q10,COPEPODITE 4-5,2503,2503.0
Q7,ADULT-MALE,2427,2427.0
Q8,COPEPODITE,910,169155.0
Q18,JUVENILE,880,6062.0
Q11,NAUPLII,767,40245.0
Q21,PARASITE,429,547.0
Q15,NYMPH,424,8342.0
Q13,SIPHONS,344,3248.0
Q12,PUPAE,328,11651.0
Q20,ZOEA,252,4713.0
Q16,IMAGO,223,4354.0
Q19,CYPRIS,177,9996.0
Q17,MEGALOPAE,109,3143.0
Q3,ELVERS,22,42737.0
Q14,EPHYRA,22,954.0
