sea,decade,hauls,predator_records,prey_records,taxon_nodes,predator_taxa,prey_taxa,directed_edges,self_loops,connectance_l_over_s2,nonself_directed_density,links_per_taxon,mean_prey_taxa_per_predator,mean_predators_per_prey_taxon,max_out_degree,max_in_degree,mean_total_degree,max_total_degree,weak_components,largest_component_taxa,largest_component_pct,top_10_edge_record_share_pct
North Sea,1900,571,1954,7200,523,69,485,1661,5,0.006072482259650714,0.006065800751631832,3.1759082217973233,24.07246376811594,3.424742268041237,187,31,6.351816443594647,193,2,521,99.61759082217974,13.527777777777779
North Sea,1970,294,5482,14620,391,58,365,1630,8,0.010661887350292058,0.010636763066430585,4.168797953964194,28.103448275862068,4.465753424657534,148,38,8.337595907928389,150,1,391,100.0,20.129958960328317
Irish Sea,1980,146,2467,7832,169,38,147,854,3,0.029900913833549245,0.02997323189630882,5.053254437869822,22.473684210526315,5.809523809523809,89,32,10.106508875739644,90,1,169,100.0,17.837078651685392
Celtic Sea,1990,225,4734,6648,178,67,141,845,4,0.026669612422673905,0.026693328254935568,4.747191011235955,12.611940298507463,5.99290780141844,55,40,9.49438202247191,58,1,178,100.0,17.343561973525873
North Sea,1990,355,10979,31022,314,24,307,837,3,0.00848918820236115,0.00848578580004477,2.6656050955414012,34.875,2.726384364820847,163,15,5.3312101910828025,164,1,314,100.0,41.32873444652182
Channel,1910,492,1229,2505,204,70,145,747,1,0.017949826989619378,0.01801410219260118,3.661764705882353,10.67142857142857,5.151724137931034,37,42,7.323529411764706,42,1,204,100.0,19.880239520958085
North Sea,2000,518,9831,37835,247,48,213,741,2,0.012145748987854251,0.012162206642309338,3.0,15.4375,3.4788732394366195,106,27,6.0,113,1,247,100.0,64.0280163869433
North Sea,1880,371,1280,3548,271,36,251,740,3,0.010076115521302815,0.01007243405767391,2.7306273062730626,20.555555555555557,2.948207171314741,131,21,5.461254612546125,136,1,271,100.0,21.195039458850058
North Sea,1980,187,2391,8465,271,17,264,547,3,0.0074481556623684315,0.007434741014076807,2.018450184501845,32.1764705882353,2.071969696969697,128,11,4.03690036900369,131,1,271,100.0,47.0761961015948
North Sea,1890,194,1167,2904,167,22,152,527,3,0.018896339058410126,0.018901955125892794,3.155688622754491,23.954545454545453,3.4671052631578947,74,15,6.311377245508982,79,1,167,100.0,19.903581267217632
Celtic Sea,2010,110,1117,2670,226,18,216,520,1,0.010180906883859347,0.010206489675516224,2.3008849557522124,28.88888888888889,2.4074074074074074,84,11,4.601769911504425,84,1,226,100.0,20.44943820224719
Irish Sea,1950,49,169,1346,183,20,169,516,1,0.015408044432500224,0.015462679397105626,2.819672131147541,25.8,3.0532544378698225,77,14,5.639344262295082,78,1,183,100.0,16.790490341753344
