haul_id,cruise_name,year,sea,ices_rect,shot_lat_dd,shot_lon_dd,pred_id,predator_name,predator_tsn,pooled,num_stomachs,prey_name,prey_tsn,qual_code,min_num,cpw
ADAMS-1977-4,ADAMS-1977,1977.0,Freshwater,'41E5,56.124051,-4.626867,ADAMS-1977-4\FPE-4,FPE,168470.0,y,138.0,Copepoda (freshwater),88640.0,Q1,156.0,0.151944
ADAMS-1977-4,ADAMS-1977,1977.0,Freshwater,'41E5,56.124051,-4.626867,ADAMS-1977-4\FPE-4,FPE,168470.0,y,138.0,Asellus,92658.0,Q1,129.0,5.16
ADAMS-1977-4,ADAMS-1977,1977.0,Freshwater,'41E5,56.124051,-4.626867,ADAMS-1977-4\FPE-4,FPE,168470.0,y,138.0,Ephemeroptera,100502.0,Q1,35.0,1.08424995
ADAMS-1977-4,ADAMS-1977,1977.0,Freshwater,'41E5,56.124051,-4.626867,ADAMS-1977-4\FPE-4,FPE,168470.0,y,138.0,Diptera,118831.0,Q1,195.0,6.46826466
ADAMS-1977-4,ADAMS-1977,1977.0,Freshwater,'41E5,56.124051,-4.626867,ADAMS-1977-4\FPE-4,FPE,168470.0,y,138.0,Cladocera (freshwater) ,83874.0,Q1,3547.0,1.557909793
ADAMS-1985-1,ADAMS-1985,1985.0,Freshwater,'41E5,56.055265,-4.560262,ADAMS-1985-1\FPE-5,FPE,168470.0,y,7.0,Plecoptera,102467.0,Q1,6.0,0.32118
ADAMS-1985-1,ADAMS-1985,1985.0,Freshwater,'41E5,56.055265,-4.560262,ADAMS-1985-1\FPE-5,FPE,168470.0,y,7.0,UI Fish remains,161105.0,Q1,6.0,0.0
ADAMS-1985-1,ADAMS-1985,1985.0,Freshwater,'41E5,56.055265,-4.560262,ADAMS-1985-1\FPE-5,FPE,168470.0,y,7.0,Diptera,118831.0,Q1,22.0,0.729752936
ADAMS-1985-1,ADAMS-1985,1985.0,Freshwater,'41E5,56.055265,-4.560262,ADAMS-1985-1\FPE-5,FPE,168470.0,y,7.0,Trichoptera,115095.0,Q1,3.0,0.16059
ADAMS-1985-1,ADAMS-1985,1985.0,Freshwater,'41E5,56.055265,-4.560262,ADAMS-1985-1\FPE-5,FPE,168470.0,y,7.0,Hemiptera,103359.0,Q1,1.0,0.054266667
ADAMS-1985-1,ADAMS-1985,1985.0,Freshwater,'41E5,56.055265,-4.560262,ADAMS-1985-1\FPE-5,FPE,168470.0,y,7.0,Ephemeroptera,100502.0,Q1,1.0,0.03097857
