year,haul_rows
1836.0,2
1837.0,3
1838.0,1
1839.0,1
1840.0,1
1847.0,1
1849.0,1
1853.0,1
1864.0,1
1884.0,2
1885.0,287
1886.0,50
1887.0,26
1888.0,23
1889.0,119
1890.0,91
1891.0,88
1893.0,2
1894.0,68
1896.0,9
1897.0,5
1898.0,3
1899.0,3
1900.0,69
1901.0,150
1902.0,30
1903.0,83
1904.0,69
1905.0,127
1906.0,99
1907.0,129
1908.0,41
1909.0,13
1910.0,5
1911.0,1
1912.0,5
1913.0,33
1914.0,3
1917.0,155
1918.0,215
1919.0,267
1920.0,26
1921.0,42
1922.0,122
1923.0,280
1924.0,41
1925.0,45
1926.0,67
1927.0,30
1928.0,3
1929.0,77
1930.0,37
1931.0,57
1932.0,40
1933.0,65
1934.0,38
1935.0,37
1936.0,66
1937.0,58
1938.0,27
1939.0,31
1940.0,1
1946.0,21
1947.0,21
1948.0,24
1949.0,162
1950.0,179
1951.0,104
1952.0,62
1953.0,89
1954.0,155
1955.0,198
1956.0,99
1957.0,99
1958.0,157
1959.0,148
1960.0,116
1961.0,81
1962.0,121
1963.0,64
1964.0,81
1965.0,72
1966.0,4
1967.0,21
1968.0,83
1969.0,17
1970.0,13
1971.0,74
1972.0,19
1973.0,22
1974.0,27
1975.0,12
1976.0,47
1977.0,201
1978.0,150
1979.0,30
1980.0,39
1981.0,103
1982.0,197
1983.0,212
1984.0,595
1985.0,248
1986.0,89
1987.0,77
1988.0,71
1989.0,17
1990.0,61
1991.0,179
1992.0,218
1993.0,89
1994.0,93
1995.0,7
1996.0,81
1997.0,3
1998.0,9
1999.0,6
2000.0,4
2001.0,17
2002.0,3
2004.0,168
2005.0,148
2006.0,294
2007.0,56
2008.0,90
2009.0,118
2010.0,204
2011.0,244
2012.0,11
2013.0,34
2014.0,49
2015.0,42
2016.0,10
2017.0,15
2018.0,20
2019.0,68
2020.0,7
2021.0,12
2023.0,9
