sea,decade,predator_name,predator_tsn,prey_name,prey_tsn,prey_records,distinct_hauls,total_min_num,total_cpw
Baltic,1900,LUM,167612.0,Pleurobrachia pileus,53862.0,16,9,225.0,11.762694488300248
Baltic,1900,LUM,167612.0,Mysis spp.,89856.0,11,7,148.0,2.1280178752107917
Baltic,1900,LUM,167612.0,Mysis mixta,90042.0,4,2,606.0,8.713370489038784
Baltic,1900,LUM,167612.0,Ephyra (larval jellyfish),51483.0,3,1,3.0,1.413E-4
Baltic,1900,LUM,167612.0,Irene?,49806.0,1,1,2.0,0.263492
Baltic,1900,LUM,167612.0,Eelgrass (Zostera),39074.0,1,1,1.0,0.8123799999999999
Baltic,1900,LUM,167612.0,Ammodytes larvae,171671.0,1,1,27.0,14.610159846844955
Baltic,1900,LUM,167612.0,Decapod (Krebsreste),98670.0,1,1,5.0,3.6925019962686543
Baltic,1910,LUM,167612.0,Pleurobrachia pileus,53862.0,3,1,60.0,3.1367185302133995
Baltic,1920,FLE,172894.0,Gammarus locusta,93775.0,19,14,266.0,1.0373999999999999
Baltic,1920,FLE,172894.0,Mytilus edulis,79454.0,11,11,94.0,64.15085790040722
Baltic,1920,FLE,172894.0,Copepod,85258.0,11,8,166.0,0.26493599999999995
Baltic,1920,FLE,172894.0,Macoma baltica,567846.0,10,10,99.0,9.148498303078185
Baltic,1920,FLE,172894.0,Bathypoeia spp.,93992.0,10,9,425.0,1.421235347505158
Baltic,1920,FLE,172894.0,Insect larvae,118831.0,9,8,31.0,1.0282882352941176
Baltic,1920,FLE,172894.0,Diastylis rathkei,90852.0,7,6,21.0,0.14030550247595236
Baltic,1920,FLE,172894.0,Naidae,68422.0,5,5,100.0,10.0
Baltic,1920,FLE,172894.0,Amphipod,93294.0,5,4,163.0,11.736
Baltic,1920,FLE,172894.0,Corophium spp.,93601.0,4,4,27.0,0.06241834578407165
Baltic,1920,FLE,172894.0,Spionidae,66781.0,3,2,4.0,0.04314518433966441
Baltic,1920,FLE,172894.0,Bathypoeia pilosa,93994.0,3,3,91.0,0.1082389287456473
Baltic,1920,FLE,172894.0,Ostracod,84195.0,3,2,25.0,0.002925
Baltic,1920,FLE,172894.0,Idothea spp.,92588.0,3,3,39.0,0.9779249999999999
Baltic,1920,FLE,172894.0,Mysis vulgaris,90063.0,3,3,9.0,0.3870000131428242
Baltic,1920,FLE,172894.0,Mytilus edulis spat,79454.0,2,2,4.0,2.7298237404428605
Baltic,1920,FLE,172894.0,Halicryptus spinulosus,155159.0,2,2,2.0,0.4435756283376122
Baltic,1920,FLE,172894.0,Pontoporeia affinis,93968.0,2,2,20.0,0.9049823321554769
Baltic,1920,FLE,172894.0,Terebellides stroemi,68069.0,2,2,118.0,65.96154582330097
Baltic,1920,FLE,172894.0,Iaera marina (Jaera marina?),92814.0,2,2,8.0,2.452536677115988
Baltic,1920,PLE,172902.0,Eumenia crasia,67321.0,1,1,1.0,0.30157500415225513
Baltic,1920,FLE,172894.0,Gobius minutus,171978.0,1,1,10.0,1.1721494854885521
Baltic,1920,FLE,172894.0,Nereis spp,65902.0,1,1,14.0,0.26608099268382795
Baltic,1920,FLE,172894.0,Fish remains,161105.0,1,1,5.0,0.9326016479379345
Baltic,1920,PLE,172902.0,Polychaete,64358.0,1,1,1.0,0.5689338052568699
Baltic,1920,PLE,172902.0,Amphiura filiformis,157728.0,1,1,1.0,0.7546100588553578
Baltic,1920,FLE,172894.0,Macoma baltica siphons,567846.0,1,1,1.0,0.09240907376846651
Baltic,1920,FLE,172894.0,Idothea baltica,542674.0,1,1,11.0,0.07479999955103267
Baltic,1920,FLE,172894.0,Ammodytes (juveniles),171671.0,1,1,3.0,2.29337273097622
Baltic,1920,FLE,172894.0,Eurydice pulchra,92246.0,1,1,2.0,6.537957814285689
Baltic,1920,FLE,172894.0,Nephthys ciliata,66014.0,1,1,3.0,1.4996649000288773
Baltic,1920,FLE,172894.0,Priapulus caudatus,155156.0,1,1,1.0,0.2217878141688061
Baltic,1920,FLE,172894.0,Arenicola marina,67511.0,1,1,2.0,0.1604558621255056
Baltic,1920,FLE,172894.0,Mysis mixta,90042.0,1,1,2.0,0.028756998313659354
Baltic,1920,FLE,172894.0,Harmothoe spp.,64515.0,1,1,10.0,0.06297473390358861
Baltic,1920,FLE,172894.0,Nereis diversicolor,65991.0,1,1,33.0,0.4087055572080318
Baltic,1930,FLE,172894.0,Crangon vulgaris,97118.0,2,2,13.0,9.293679282276502
Baltic,1930,FLE,172894.0,Gammarus locusta,93775.0,2,2,9.0,0.0351
Baltic,1930,ELE,161128.0,Hydrobia ulvae,70499.0,1,1,6.0,0.018703165703038427
Baltic,1930,ELE,161128.0,Gasterosteus pungitius,166387.0,1,1,3.0,33.16921805180285
Baltic,1930,ELE,161128.0,Arenicola marina,67511.0,1,1,2.0,0.1604558621255056
Baltic,1930,ELE,161128.0,Gasterosteus aculeatus,166365.0,1,1,1.0,11.793564288725724
Baltic,1930,ELE,161128.0,Aoridae,93440.0,1,1,2.0,0.005910790424288492
Baltic,1930,ELE,161128.0,Gobius niger,171850.0,1,1,1.0,11.425297490059933
Baltic,1930,ELE,161128.0,Chironomid,127917.0,1,1,1.0,0.0035
Baltic,1930,ELE,161128.0,Cyathura carinata,92152.0,1,1,2.0,0.00577058825900381
Baltic,1930,FLE,172894.0,Naidae,68422.0,1,1,3.0,0.30000000000000004
Baltic,1930,ELE,161128.0,Idothea viridis,92588.0,1,1,57.0,1.429275
Baltic,1930,ELE,161128.0,Cardium exiguum,205622.0,1,1,1.0,0.09418333526991773
Baltic,1930,BLG,171850.0,Aoridae,93440.0,1,1,1.0,0.002955395212144246
Baltic,1930,ELE,161128.0,Neritina fluviatilis,70178.0,1,1,6.0,1.4493379120879124
Baltic,1930,FLE,172894.0,Cardium edule,80901.0,1,1,19.0,66.30941199481448
Baltic,1930,FLE,172894.0,Mya arenaria,81692.0,1,1,8.0,0.5529087361273834
Baltic,1930,FLE,172894.0,Crustacean remains,83677.0,1,1,2.0,1.147528
Baltic,1930,FLE,172894.0,Insect larvae,118831.0,1,1,8.0,0.26536470588235295
Baltic,1930,FLE,172894.0,Copepod,85258.0,1,1,5.0,0.00798
Baltic,1930,ELE,161128.0,Littorina rudis,70405.0,1,1,1.0,0.11190000176429749
Baltic,1930,ELE,161128.0,Crangon vulgaris,97118.0,1,1,6.0,4.28939043797377
Baltic,1930,ELE,161128.0,Oecetis ochracea,116632.0,1,1,1.0,0.05353
Baltic,1930,BRT,167318.0,Cyathura carinata,92152.0,1,1,1.0,0.002885294129501905
Baltic,1930,BRT,167318.0,Crangon vulgaris,97118.0,1,1,6.0,4.28939043797377
Baltic,1930,BRT,167318.0,Gasterosteus pungitius,166387.0,1,1,5.0,10.0438628913
Baltic,1930,BRT,167318.0,Gobius niger,171850.0,1,1,3.0,5.22681825039085
Baltic,1930,BRT,167318.0,Littorina rudis,70405.0,1,1,2.0,0.22380000352859497
Baltic,1930,BRT,167318.0,Gasterosteus aculeatus,166365.0,1,1,1.0,2.083838442658786
Baltic,1930,FLE,172894.0,Corophium volutator,93601.0,1,1,1.0,0.002311790584595246
Baltic,1930,BRT,167318.0,Orthetrum cancellatum,101797.0,1,1,1.0,0.315425
Baltic,1930,BRT,167318.0,Mysis spp.,89856.0,1,1,1.0,0.014378499156829677
Baltic,1930,BRT,167318.0,Neritina fluviatilis,70178.0,1,1,1.0,0.24155631868131874
Baltic,1930,BRT,167318.0,Rissoa sp.,70797.0,1,1,1.0,0.0026642521729075474
Baltic,1930,COD,164712.0,Crangon vulgaris,97118.0,1,1,9.0,6.434085656960655
Baltic,1930,COD,164712.0,Idothea viridis,92588.0,1,1,6.0,0.15045
Baltic,1930,COD,164712.0,Gammarus locusta,93775.0,1,1,4.0,0.0156
Baltic,1930,COD,164712.0,Gasterosteus aculeatus,166365.0,1,1,3.0,8.915212164335028
Baltic,1930,COD,164712.0,Leander adspersus,96213.0,1,1,2.0,5.573333333333333
Baltic,1930,ELE,161128.0,Leander adspersus,96213.0,1,1,22.0,61.306666666666665
Baltic,1930,BRT,167318.0,Gammarus locusta,93775.0,1,1,7.0,0.027299999999999998
Baltic,1930,ELE,161128.0,Gammarus locusta,93775.0,1,1,24.0,0.09359999999999999
Baltic,1930,COD,164712.0,Pomatoschistus minutus,171978.0,1,1,1.0,2.545724544497114
Baltic,1930,COD,164712.0,Gasterosteus pungitius,166387.0,1,1,1.0,2.84839288006
Baltic,1930,COD,164712.0,Littorina rudis,70405.0,1,1,1.0,0.11190000176429749
Baltic,1930,COD,164712.0,Rissoa sp.,70797.0,1,1,1.0,0.0026642521729075474
Baltic,1930,COD,164712.0,Hyrobia ulvae,70499.0,1,1,1.0,0.003117194283839738
Baltic,1930,FLE,172894.0,Idothea viridis,92588.0,1,1,12.0,0.3009
Baltic,1930,FLE,172894.0,Hydrobia ulvae,70499.0,1,1,7.0,0.021820359986878167
Baltic,1930,FLE,172894.0,Cerastoderma edule,80901.0,1,1,6.0,20.939814314151942
Baltic,1930,FLE,172894.0,Cardium exiguum,205622.0,1,1,6.0,0.5651000116195064
Baltic,1930,FLE,172894.0,Chironomid,127917.0,1,1,5.0,0.0175
Baltic,1930,FLE,172894.0,Littorina rudis,70405.0,1,1,4.0,0.44760000705718994
Baltic,1930,FLE,172894.0,Leander adspersus,96213.0,1,1,2.0,5.573333333333333
Baltic,1930,FLE,172894.0,Rissoa sp.,70797.0,1,1,2.0,0.005328504345815095
Baltic,1930,FLE,172894.0,Macoma baltica,567846.0,1,1,2.0,0.18481814753693301
Baltic,1930,FLE,172894.0,Mysis spp.,89856.0,1,1,1.0,0.014378499156829677
Baltic,1930,ELE,161128.0,Gasterosteus sp. Eggs,166365.0,1,1,31.0,365.6004929504974
Baltic,1930,BLG,171850.0,Gammarus locusta,93775.0,1,1,6.0,0.023399999999999997
Baltic,1930,BLG,171850.0,Idothea viridis,92588.0,1,1,5.0,0.12537500000000001
Baltic,1930,BRT,167318.0,Chironomid,127917.0,1,1,1.0,0.0035
Baltic,1930,BRT,167318.0,Idothea viridis,92588.0,1,1,7.0,0.175525
Baltic,1930,BLG,171850.0,Leander adspersus,96213.0,1,1,3.0,8.36
Baltic,1930,BLG,171850.0,Mysis spp.,89856.0,1,1,4.0,0.05751399662731871
Baltic,1930,ELE,161128.0,Limnaea ovata,76494.0,1,1,10.0,2.4155631868131873
Baltic,1930,ELP,165324.0,Idothea viridis,92588.0,1,1,11.0,0.275825
Baltic,1930,ELP,165324.0,Littorina rudis,70405.0,1,1,4.0,0.44760000705718994
Baltic,1930,ELP,165324.0,Hydrobia ulvae,70499.0,1,1,4.0,0.012468777135358952
