Processing dataset: Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 _tax_mass
    "Processing with K …"    "10"    " using strategy: "    "random"

[DivideNet] Using directed logic. Connectivity check: 1
[DivideNet] Test links accepted: 251 / 251 (100.0%)
[DivideNet] Attempts made: 275 | Failed attempts: 24
    "Experiment "    "1"    " (strategy: "    "random"    ") — Running WLNM..."

[sample_neg] Final link counts (use_role_filter = 1):
    Train Positive: 1010
    Train Negative: 2020
    Test  Positive: 251
    Test  Negative: 502
[WLNM] Skipping DegreeCompute: non-degree-based strategy selected.
Encoding 3030 subgraphs (K = 10)...
[WARN] Link (43,5) triggered large expansion: 36 nodes
[WARN] Link (63,6) triggered large expansion: 38 nodes
[WARN] Link (4,7) triggered large expansion: 33 nodes
[WARN] Link (23,7) triggered large expansion: 35 nodes
[WARN] Link (36,7) triggered large expansion: 32 nodes
[WARN] Link (54,7) triggered large expansion: 35 nodes
[WARN] Link (59,7) triggered large expansion: 32 nodes
[WARN] Link (63,7) triggered large expansion: 40 nodes
[WARN] Link (65,7) triggered large expansion: 31 nodes
[WARN] Link (76,7) triggered large expansion: 32 nodes
[WARN] Link (87,7) triggered large expansion: 36 nodes
[WARN] Link (100,7) triggered large expansion: 36 nodes
[WARN] Link (60,9) triggered large expansion: 34 nodes
[WARN] Link (35,10) triggered large expansion: 36 nodes
[WARN] Link (43,10) triggered large expansion: 37 nodes
[WARN] Link (67,10) triggered large expansion: 31 nodes
[WARN] Link (87,10) triggered large expansion: 32 nodes
[WARN] Link (100,10) triggered large expansion: 31 nodes
[WARN] Link (60,11) triggered large expansion: 36 nodes
[WARN] Link (60,12) triggered large expansion: 31 nodes
[WARN] Link (22,29) triggered large expansion: 33 nodes
[WARN] Link (54,29) triggered large expansion: 34 nodes
[WARN] Link (59,29) triggered large expansion: 33 nodes
[WARN] Link (60,29) triggered large expansion: 39 nodes
[WARN] Link (65,29) triggered large expansion: 32 nodes
[WARN] Link (75,29) triggered large expansion: 31 nodes
[WARN] Link (76,29) triggered large expansion: 32 nodes
[WARN] Link (99,29) triggered large expansion: 31 nodes
[WARN] Link (43,30) triggered large expansion: 35 nodes
[WARN] Link (3,32) triggered large expansion: 32 nodes
[WARN] Link (4,32) triggered large expansion: 40 nodes
[WARN] Link (19,32) triggered large expansion: 33 nodes
[WARN] Link (20,32) triggered large expansion: 31 nodes
[WARN] Link (22,32) triggered large expansion: 41 nodes
[WARN] Link (27,32) triggered large expansion: 41 nodes
[WARN] Link (31,32) triggered large expansion: 31 nodes
[WARN] Link (35,32) triggered large expansion: 47 nodes
[WARN] Link (36,32) triggered large expansion: 39 nodes
[WARN] Link (40,32) triggered large expansion: 40 nodes
[WARN] Link (43,32) triggered large expansion: 48 nodes
[WARN] Link (50,32) triggered large expansion: 36 nodes
[WARN] Link (54,32) triggered large expansion: 41 nodes
[WARN] Link (55,32) triggered large expansion: 43 nodes
[WARN] Link (56,32) triggered large expansion: 32 nodes
[WARN] Link (58,32) triggered large expansion: 34 nodes
[WARN] Link (59,32) triggered large expansion: 39 nodes
[WARN] Link (60,32) triggered large expansion: 50 nodes
[WARN] Link (63,32) triggered large expansion: 47 nodes
[WARN] Link (66,32) triggered large expansion: 31 nodes
[WARN] Link (76,32) triggered large expansion: 39 nodes
[WARN] Link (86,32) triggered large expansion: 35 nodes
[WARN] Link (100,32) triggered large expansion: 42 nodes
[WARN] Link (102,32) triggered large expansion: 35 nodes
[WARN] Link (3,33) triggered large expansion: 31 nodes
[WARN] Link (17,33) triggered large expansion: 34 nodes
[WARN] Link (22,33) triggered large expansion: 40 nodes
[WARN] Link (23,33) triggered large expansion: 40 nodes
[WARN] Link (27,33) triggered large expansion: 40 nodes
[WARN] Link (35,33) triggered large expansion: 46 nodes
[WARN] Link (36,33) triggered large expansion: 38 nodes
[WARN] Link (40,33) triggered large expansion: 39 nodes
[WARN] Link (50,33) triggered large expansion: 35 nodes
[WARN] Link (55,33) triggered large expansion: 42 nodes
