EcosystemType,Metric,N,Mean,Median,SD,Q25,Q75,SEM,NotebookCell,SourceFile,Selection
marine,Recall,134,0.55303386420684775,0.59677419354850003,0.24149632275583771,0.35436533704425,0.75,0.0208621048122773,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
marine,TestMCC,134,0.59273003353089537,0.58925542640999995,0.2069657249657359,0.43620452798999992,0.76917753770950004,0.017879115497545499,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
marine,TestTSS,134,0.50931651480010587,0.51989067055399996,0.23548390732378449,0.32829831932775,0.70955043859674993,0.020342711226954399,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
streams,F1Score,28,0.44318550777665711,0.41010118874199991,0.29523013793709352,0.22453025397175,0.54856287970325002,0.055793251750917497,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
streams,PR_AUC,28,0.58714833751053574,0.54799183119350003,0.17633460994634351,0.46077463548800002,0.74972875124325,0.033324108960828602,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
streams,Precision,28,0.8555139918586071,1,0.2931097343002797,0.94646411209650005,1,0.055392533129339901,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
streams,ROC_AUC,28,0.87639921430449985,0.9181133201685,0.1391383477903097,0.82295758727424995,0.98893894587775,0.026294676148969399,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
streams,Recall,28,0.37257744714565,0.28827090046549991,0.33344448845061991,0.12812856972375,0.38522830310900003,0.063015085177534902,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
streams,TestMCC,28,0.43629401585178568,0.36669526790599988,0.27910942091932278,0.26863951716399992,0.496239379983,0.0527467225948412,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
streams,TestTSS,28,0.33091719114813573,0.2333451933405,0.30993979534963062,0.1264112396215,0.33746050393850002,0.058573115706955399,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
