TrainRatio,Metric,N,Mean,Median,SD,Q25,Q75,SEM,NotebookCell,SourceFile,Selection
10,F1Score,290,0.4947135395174207,0.560486213914,0.2215067672725759,0.3754124784365,0.63677595112024987,0.0130073252501794,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
10,PR_AUC,290,0.51529535270007243,0.53060028773949985,0.15591673571088849,0.38621950182749992,0.65276296025574987,0.0091557459770162993,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
10,Precision,290,0.66152308136391025,0.70512475882000003,0.2350240215760955,0.57540981499599986,0.82509949888449985,0.0138010857541143,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
10,ROC_AUC,290,0.73618928416672413,0.76654063894500002,0.1151442844121922,0.66080963697899986,0.80850237792275004,0.0067615051968390998,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
10,Recall,290,0.42931618974649738,0.45251200742800002,0.22381754292546749,0.27611441798925002,0.61206413506750001,0.0131430186687934,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
10,TestMCC,290,0.39264924862898748,0.41638196682450002,0.20006823213274241,0.26901736237474988,0.5085780746095,0.011748411119090699,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
10,TestTSS,290,0.3429396586324438,0.37967392358300001,0.19514309827361681,0.1959177681065,0.4572933687677499,0.011459197300501199,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
20,F1Score,290,0.60258151717599995,0.61980673410749987,0.1742864504953367,0.50880117281774995,0.74293648594075001,0.010234452771831,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
20,PR_AUC,290,0.49134032519668269,0.51576583224599992,0.15336054495310431,0.39383261443750001,0.61272489621399995,0.0090056412872255992,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
20,Precision,290,0.74176129587948614,0.78599720384549987,0.17267021722517659,0.60254606978025005,0.89341372559449994,0.0101395442862619,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
20,ROC_AUC,290,0.78401870220676895,0.79921118911449995,0.12002547128829059,0.70281124115975002,0.88293714546699986,0.0070481383597265001,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
20,Recall,290,0.54053311302689722,0.57088624338649985,0.1831036626067305,0.42350753295674998,0.67896472996349988,0.010752217294987,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
20,TestMCC,290,0.48530908370122933,0.50013585232549995,0.20157447740553919,0.32184733006599991,0.65388043860074985,0.011836860887064199,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
20,TestTSS,290,0.43799849256177098,0.44334322033899992,0.1975114624767115,0.28537986055499992,0.60028739431,0.0115982724352244,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
30,F1Score,290,0.63904395026946537,0.65970961684450002,0.16802769022630851,0.52353034708250001,0.77958786157475002,0.0098669257139241007,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
30,PR_AUC,290,0.48304351353956893,0.48828116492899992,0.1466513284488036,0.37614168724925001,0.60337285131925,0.0086116625283829008,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
30,Precision,290,0.78130065445166885,0.8272659081485001,0.17070910097728151,0.63959032367149993,0.92753575179400005,0.0100243835749036,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
30,ROC_AUC,290,0.8147700643556206,0.843147223813,0.12018657653762629,0.70496266203875002,0.91758978288824999,0.0070575987857145004,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
30,Recall,290,0.57216103013966546,0.60334892940950002,0.1770728888933622,0.45106968141374992,0.70526757197625001,0.0103980780686062,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
30,TestMCC,290,0.53130995791491176,0.54704812307450001,0.20503616016325629,0.35730517553749991,0.70746990446625002,0.0120401378979519,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
30,TestTSS,290,0.48079386989740891,0.49383578792350002,0.2041517179750002,0.29988248407649992,0.65343264543474988,0.0119882016643583,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
40,F1Score,290,0.65396672199262407,0.64559953967850003,0.17156452315203891,0.55327595618225001,0.80853704259674986,0.0100746156946275,week-33.ipynb cell a61182cc / week-32.ipynb cell 2651cffd,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"K=10; threshold=0.5; one retained mean per food web, training ratio and metric"
