CvK,Metric,N,Mean,Median,SD,Q25,Q75,SEM,NotebookCell,SourceFile,Selection
3,F1Score,290,0.65051352206366764,0.66720128602599993,0.1956819730120051,0.54518025935150005,0.79076585331000004,0.0114908411147179,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
3,PR_AUC,290,0.50807991848285272,0.51666178106500005,0.1618410603892752,0.40298772884474993,0.60717082280250001,0.0095036343008281995,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
3,Precision,290,0.84624883420043451,0.90336745523399997,0.14809124597673859,0.78044882255650005,0.95883499839874997,0.0086962173970665992,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
3,ROC_AUC,290,0.84755110279881707,0.85615729033099985,0.1106058300242156,0.7746114294892501,0.9405603763475,0.0064949979786425001,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
3,Recall,290,0.57789247349636685,0.599983999426,0.22131509862173129,0.44473062051574991,0.73778775310349987,0.012996070079457101,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
3,TestMCC,290,0.57661514529457203,0.57346563908399995,0.20491427106596691,0.4456806616515,0.72820292790449992,0.0120329803237052,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
3,TestTSS,290,0.51264049575196724,0.50646201032049987,0.22561120941718699,0.35401768298649988,0.67481493084550004,0.0132483463918938,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
5,F1Score,290,0.65483050361768103,0.68906901665050002,0.2032109082237965,0.53776006417474986,0.80144108355999988,0.011932955413496,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
5,PR_AUC,290,0.52668385587361721,0.53287630226750005,0.15554697747472601,0.39527923592675002,0.63501442973399991,0.0091340330257556994,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
5,Precision,290,0.86937984195241724,0.92421234367049998,0.1388759995248261,0.82327656892949985,0.96772097571225002,0.0081550794926292004,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
