Figure,DocxMedia,Notebook,CellIndex,CellID,Width,Height,RGBPixelsIdentical
Figure 2,word/media/image4.png,/Users/acw792/Developer/qmul-phd-framework/docs/progress_notebooks_logs/2026/week-32.ipynb,2,a36a0f93,1133,1133,True
Figure 3,word/media/image6.png,/Users/acw792/Developer/qmul-phd-framework/docs/progress_notebooks_logs/2026/week-33.ipynb,2,65b4e60f,1138,468,True
Figure 4,word/media/image8.png,/Users/acw792/Developer/qmul-phd-framework/docs/progress_notebooks_logs/2026/week-33.ipynb,3,a61182cc,757,769,True
Figure 5,word/media/image10.png,/Users/acw792/Developer/qmul-phd-framework/docs/progress_notebooks_logs/2026/week-33.ipynb,4,f3eec4ae,1680,1092,True
Supplementary Figure 3,word/media/image14.png,/Users/acw792/Developer/qmul-phd-framework/docs/progress_notebooks_logs/2026/week-32.ipynb,6,8c6a2ac3,1186,486,True
Supplementary Figure 4,word/media/image16.png,/Users/acw792/Developer/qmul-phd-framework/docs/progress_notebooks_logs/2026/week-32.ipynb,7,26714dfc,1391,1390,True
Supplementary Figure 5,word/media/image18.png,/Users/acw792/Developer/qmul-phd-framework/docs/progress_notebooks_logs/2026/week-32.ipynb,8,8c81ac4d,1337,1267,True
Supplementary Figure 6,word/media/image20.png,/Users/acw792/Developer/qmul-phd-framework/docs/progress_notebooks_logs/2026/week-32.ipynb,9,aad4b23a,1337,1267,True
Supplementary Figure 7,word/media/image21.png,/Users/acw792/Developer/qmul-phd-framework/docs/progress_notebooks_logs/2026/week-32.ipynb,3,5ee1bf7d,1138,468,True
Supplementary Figure 8,word/media/image22.png,/Users/acw792/Developer/qmul-phd-framework/docs/progress_notebooks_logs/2026/week-32.ipynb,4,2651cffd,1533,769,True
