Predictor,Metric,N,Slope,Intercept,R2,F,DF1,DF2,PValue,NotebookCell,SourceFile,Selection
Nodes,F1Score,290,-0.00065116696444050002,0.70724801346545452,0.031261821937144003,9.2939505449255666,1,288,0.0025127103908924998,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
Nodes,PR_AUC,290,0.00049089470718299995,0.47185300673549668,0.0290361780458347,8.6124931620728944,1,288,0.0036074508185703,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
Nodes,Precision,290,1.9543133698029101e-05,0.90276458839092155,6.510943125896703e-05,0.018752737182634999,1,288,0.8911734010440322,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
Nodes,ROC_AUC,290,-0.00060656631154430002,0.91797088993704357,0.1133998587818201,36.836402128574939,1,288,4.0397131918148705e-09,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
Nodes,Recall,290,-0.0010040337332706999,0.64777062810237673,0.058578839373531699,17.92046582886509,1,288,3.1007791220469829e-05,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
Nodes,TestMCC,290,-0.00065733899580779998,0.66304699232626307,0.0342601222391066,10.216949131001575,1,288,0.0015463657998516999,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
Nodes,TestTSS,290,-0.00088784533618210002,0.60169630559681708,0.046465249353971699,14.034089271395148,1,288,0.00021684352337040001,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
Connectance,F1Score,290,0.1091263195224649,0.65015698250058584,0.00059896361145959996,0.17260490415713051,1,288,0.67811640980849497,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
Connectance,PR_AUC,290,0.31755226075187648,0.4597092833788739,0.0082890550871349,2.4072012891867485,1,288,0.1218762928407908,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
Connectance,Precision,290,-0.62855783418907984,0.99077930057821995,0.045947071812433599,13.870044618089926,1,288,0.00023565744106409999,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
Connectance,ROC_AUC,290,-0.0616878890659842,0.88733431002076846,0.0008001430108463,0.23062572068227619,1,288,0.63142480429215464,week-32.ipynb cells 8c81ac4d and aad4b23a,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,OLS with intercept; raw node counts or metadata connectance; TrainRatio=90
