Scope,Metric,N,MeanEmpirical,MeanPseudo,MedianEmpirical,MedianPseudo,MeanDifference,MedianDifference,MeanRelativeDifferencePercent,W,PValue,RankBiserial,NotebookCell,SourceFile,Selection
streams,PseudoMeanGenerality,28,19.097455712359999,14.221117185481068,13.9861111111,10.518666974949999,-4.8763385268789294,-3.88149179415,-21.869410023332208,1,1.4901161193847656e-08,-0.99507389162561555,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
streams,PseudoMeanTrophicHeight,28,1.6612227837999998,1.7407298490264285,1.6580643568800002,1.69744762655,0.079507065226428503,0.0124321233,3.9293420777923247,107,0.028050199151039099,0.47290640394088662,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
streams,PseudoMeanVulnerability,28,10.422650199190002,8.3183946014474994,7.6147776183650002,6.1284973478050002,-2.1042555977425002,-1.639747458455,-16.483557485927385,16,1.259148120880127e-06,-0.9211822660098522,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
terrestrial aboveground,PseudoConnectance,21,0.1029251138222857,0.089484087516347594,0.0864991233197,0.084796584758499896,-0.013441026305904699,-0.015711805555,-14.501682484618168,12,6.67572021484375e-05,-0.89610389610389596,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
terrestrial aboveground,PseudoMeanGenerality,21,11.794776272672379,9.5582607049638089,13.963636363599999,11.300768404799999,-2.2365155677085715,-2.6628679588000002,-14.039006713893039,20,0.00035381317138669999,-0.82683982683982682,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
terrestrial aboveground,PseudoMeanTrophicHeight,21,2.4017787916738098,2.6538421599738098,2.0314777080300002,2.1718101593600001,0.25206336829999998,0.1649354725099999,10.10491676792299,16,0.00016117095947260001,0.8614718614718615,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
terrestrial aboveground,PseudoMeanVulnerability,21,8.7144172307509535,7.14993265509381,8,7.3407612523400001,-1.5644845756571426,-1.3224319789200001,-13.703518605086908,21,0.00042629241943350002,-0.81818181818181823,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
terrestrial belowground,PseudoConnectance,52,0.1150312627834903,0.107902354043173,0.11927458419500001,0.1080894618984999,-0.0071289087402883998,-0.0142767758024999,-6.1574050895663923,379,0.0047555180135856997,-0.4499274310595065,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
terrestrial belowground,PseudoMeanGenerality,52,15.165682980240192,15.026314455328846,15.486370986400001,15.12599878995,-0.13936852491134599,-0.79038485265000002,-0.29225403933183108,486,0.064500552440332995,-0.2946298984034833,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
terrestrial belowground,PseudoMeanTrophicHeight,51,3.38555255508451,3.9336525224482353,3.4603953187499998,3.3336325418300001,0.54809996736372535,-0.17659233700999991,16.402926935834625,612,0.63261688836813346,-0.0769230769230769,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
terrestrial belowground,PseudoMeanVulnerability,52,15.124443610695964,14.480119866462694,15.339205058699999,14.3501887777,-0.64432374423326921,-1.37501992919,-3.6756222134002758,436,0.0212198410476893,-0.3671988388969521,week-33.ipynb cell f3eec4ae,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/ecological_train60_after_tukey.csv,Pseudo minus empirical; differences rounded to 12 decimals; two-sided Wilcoxon; zero_method=wilcox; method=auto; correction=False; unadjusted p-values
