Score,Label
0.9915653,1
0.9840015,1
0.999959,1
0.9994667,1
0.9915653,1
0.9999993,1
0.9994718,1
0.9727083,1
0.9999955,1
0.9840015,1
0.9840015,1
0.9999993,1
0.9999653,1
0.9998766,1
0.005597166,1
0.9996592,1
0.9505014,1
1,1
0.9840015,1
0.005597166,0
0.09011465,0
5.504755e-06,0
0.005597166,0
0.09011465,0
2.717714e-05,0
1.467868e-05,0
7.210305e-05,0
0.9915653,0
0.09011465,0
1.467868e-05,0
1.131811e-05,0
0.09011465,0
0.6026483,0
4.661846e-06,0
2.586689e-05,0
7.210305e-05,0
0.09011465,0
4.661846e-06,0
0.09011465,0
4.661846e-06,0
0.09011465,0
6.99444e-06,0
2.427823e-05,0
2.427823e-05,0
2.717714e-05,0
0.09011465,0
1.359728e-06,0
1.467868e-05,0
6.99444e-06,0
5.563978e-05,0
2.403506e-05,0
2.617224e-05,0
0.005597166,0
2.691062e-05,0
2.717714e-05,0
5.40645e-06,0
1.236891e-05,0
