IS,temp,n_nodes,n_edges,n_backbone_edges,n_backbone_nodes,bb_within_frac_mean,bb_within_frac_std,bb_between_frac_mean,bb_between_frac_std,bb_nodes_max_comm_share,bb_nodes_entropy_norm,n_communities_best,best_modularity,mat_file
10.0,5.1,33,243,52,28,0.38461538461538464,0.1191687183448436,0.6153846153846152,0.1191687183448436,0.4642857142857143,0.938987967028829,3,0.05262578536469713,hengill_IS10_T5.10.mat
13.0,6.1,36,256,29,30,0.12183908045977013,0.10858267290684637,0.8781609195402298,0.10858267290684635,0.5,0.8586727110702638,3,0.06406402587890625,hengill_IS13_T6.10.mat
7.0,8.2,40,329,80,34,0.45791666666666675,0.04814078024110351,0.5420833333333334,0.048140780241103506,0.5882352941176471,0.7131261381909837,3,0.06546964643711721,hengill_IS07_T8.20.mat
14.0,9.7,39,289,58,31,0.4114942528735632,0.08156871264004677,0.5885057471264367,0.08156871264004675,0.5483870967741935,0.8945821057264882,3,0.06681553142323485,hengill_IS14_T9.70.mat
4.0,12.7,41,319,35,36,0.3352380952380952,0.14303481015508,0.6647619047619049,0.14303481015508002,0.4166666666666667,0.9562001156632501,3,0.042064248582462806,hengill_IS04_T12.70.mat
11.0,12.8,41,280,30,31,0.35444444444444445,0.19841657139077157,0.6455555555555554,0.19841657139077157,0.5161290322580645,0.7974374215223823,4,0.06895408163265303,hengill_IS11_T12.80.mat
16.0,14.5,41,334,56,30,0.34047619047619043,0.09139570341747255,0.6595238095238096,0.09139570341747257,0.43333333333333335,0.9352862928713395,3,0.06442952418516262,hengill_IS16_T14.50.mat
12.0,15.5,40,292,120,32,0.4297222222222222,0.08646031345345177,0.5702777777777778,0.0864603134534518,0.5625,0.8957541374970985,3,0.07705479452054796,hengill_IS12_T15.50.mat
9.0,18.1,39,293,34,35,0.31078431372549015,0.09166011300888315,0.6892156862745099,0.09166011300888313,0.4857142857142857,0.8414762554611482,3,0.05520157485818127,hengill_IS09_T18.10.mat
6.0,21.0,37,249,31,32,0.43118279569892465,0.10906957856328765,0.5688172043010752,0.10906957856328765,0.625,0.954434002921391,2,0.07574071385945391,hengill_IS06_T21.00.mat
5.0,21.3,43,281,60,32,0.3,0.06426219440409447,0.6999999999999997,0.06426219440409446,0.53125,0.9007352353465613,4,0.07758893631033047,hengill_IS05_T21.30.mat
1.0,22.7,37,223,54,29,0.3277777777777778,0.0634602727583505,0.6722222222222224,0.0634602727583505,0.5517241379310345,0.9076727178272436,3,0.06575639968629979,hengill_IS01_T22.70.mat
3.0,23.7,36,231,48,26,0.4743055555555556,0.11098299905952673,0.5256944444444444,0.11098299905952673,0.7307692307692307,0.6307122019986404,3,0.06526301980847435,hengill_IS03_T23.70.mat
8.0,24.6,33,173,48,26,0.6006944444444444,0.18415875841911278,0.3993055555555556,0.18415875841911278,0.46153846153846156,0.8828951264720016,3,0.05335961776203683,hengill_IS08_T24.60.mat
