Scenario,Foodweb,Version,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,SourceColumn,ReferenceColumn,TotalRunUnits,ValidRunsBeforeTukey,InvalidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey,ExpectedRuns,MinimumRetainedRuns,MeetsMinimumRetainedRuns,Q1,Q3,IQR,LowerFence,UpperFence,MeanBeforeTukey,MeanAfterTukey,StdAfterTukey,SEAfterTukey,ReferenceValue,DeltaAfterTukey,RelativeDeltaAfterTukey
role_only_5_role_constraints_checkconnfalse_adaptivefalse_threshold0p50,AEW01,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,1,49,50,25,1,0.625354550617,0.648902536598,0.0235479859808,0.590032571646,0.684224515569,0.635973544042,0.637054916008,0.016805928931,0.00240084699015,,,
role_only_5_role_constraints_checkconnfalse_adaptivefalse_threshold0p50,AEW02,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.586181491796,0.612733493802,0.0265520020062,0.546353488786,0.652561496811,0.599839719532,0.599839719532,0.0206108225087,0.00291481047234,,,
role_only_5_role_constraints_checkconnfalse_adaptivefalse_threshold0p50,AEW03,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.613516310231,0.644273129728,0.0307568194975,0.567381080984,0.690408358974,0.623954513603,0.623954513603,0.0214533047188,0.0030339554491,,,
role_only_5_role_constraints_checkconnfalse_adaptivefalse_threshold0p50,AEW04,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.6389451401,0.665825875665,0.0268807355657,0.598624036751,0.706146979014,0.650883027892,0.650883027892,0.0189397908738,0.00267849091223,,,
role_only_5_role_constraints_checkconnfalse_adaptivefalse_threshold0p50,AEW05,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.607761572531,0.640710079288,0.0329485067572,0.558338812395,0.690132839424,0.622628773232,0.622628773232,0.0225892790714,0.0031946064827,,,
role_only_5_role_constraints_checkconnfalse_adaptivefalse_threshold0p50,AEW06,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,3,47,50,25,1,0.615540988469,0.639227552686,0.0236865642163,0.580011142145,0.67475739901,0.628395897338,0.629368677977,0.0174368185396,0.00254342138803,,,
role_only_5_role_constraints_checkconnfalse_adaptivefalse_threshold0p50,AEW07,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,2,48,50,25,1,0.619709817384,0.648544292543,0.028834475159,0.576458104645,0.691796005281,0.635024286179,0.637855393521,0.0241267027723,0.00348238958506,,,
role_only_5_role_constraints_checkconnfalse_adaptivefalse_threshold0p50,AEW08,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.607582547858,0.643799475149,0.0362169272912,0.553257156921,0.698124866086,0.625670020982,0.625670020982,0.0233589245159,0.00330345078529,,,
role_only_5_role_constraints_checkconnfalse_adaptivefalse_threshold0p50,AEW09,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,1,49,50,25,1,0.618567443593,0.64546448887,0.0268970452772,0.578221875677,0.685810056786,0.632166085419,0.631013332803,0.0189016966292,0.0027002423756,,,
role_only_5_role_constraints_checkconnfalse_adaptivefalse_threshold0p50,AEW11,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.590634500024,0.619439184237,0.0288046842132,0.547427473704,0.662646210557,0.604243759193,0.604243759193,0.0214451937517,0.00303280838513,,,
