Foodweb,NumNodes,TotalEdges,BackboneEdges,BackboneFraction,Method,q_start,q_used,thr
"RMP1_tax_mass",28,127,93,0.732283,quantile,0.0500,0.2500,0.521739
"BP1_tax_mass",28,91,40,0.439560,quantile,0.0500,0.2500,0.526316
"Sand Lake_tax_mass",29,82,25,0.304878,quantile,0.0500,0.2500,0.521739
"PGSBP2_tax_mass",29,94,58,0.617021,quantile,0.0500,0.2500,0.526316
"Brandy lake_tax_mass",30,121,47,0.388430,quantile,0.0500,0.2500,0.511111
"Iceland stream IS7 April 2009_tax_mass",30,169,116,0.686391,quantile,0.0500,0.2500,0.516129
"Owl Lake_tax_mass",30,71,45,0.633803,quantile,0.0500,0.2500,0.517241
"GJAP2_tax_mass",30,147,37,0.251701,quantile,0.0500,0.2500,0.514286
"GJAP1_tax_mass",31,218,69,0.316514,quantile,0.0500,0.2500,0.511628
"Twelfth Tee Lake_tax_mass",31,83,28,0.337349,quantile,0.0500,0.2500,0.518519
"PC2P2_tax_mass",31,176,128,0.727273,quantile,0.0500,0.2500,0.518519
"FXBP1_tax_mass",31,186,65,0.349462,quantile,0.0500,0.2500,0.513514
"Lost Lake_tax_mass",31,148,46,0.310811,quantile,0.0500,0.2500,0.517241
"CGP3_tax_mass",31,103,26,0.252427,quantile,0.0500,0.2500,0.521739
"Duddon Pike Beck_tax_mass",31,191,133,0.696335,quantile,0.0500,0.2500,0.521739
"Whipple Lake_tax_mass",32,136,65,0.477941,quantile,0.0500,0.2500,0.516129
"Constable lake_tax_mass",32,61,30,0.491803,quantile,0.0500,0.2500,0.517241
"Fawn lake_tax_mass",32,122,65,0.532787,quantile,0.0500,0.2500,0.517241
"GJBP2_tax_mass",33,244,74,0.303279,quantile,0.0500,0.2500,0.511628
"L3P1_tax_mass",33,214,54,0.252336,quantile,0.0500,0.2500,0.515152
"Oswego Lake_tax_mass",33,138,59,0.427536,quantile,0.0500,0.2500,0.518519
"MBP1_tax_mass",34,215,143,0.665116,quantile,0.0500,0.2500,0.510638
"Skipwith Pond_tax_mass",34,364,193,0.530220,quantile,0.0500,0.2500,0.509434
"CR2P4_tax_mass",35,151,90,0.596026,quantile,0.0500,0.2500,0.513514
"WP3_tax_mass",35,289,86,0.297578,quantile,0.0500,0.2500,0.509091
"Indian Lake_tax_mass",35,102,54,0.529412,quantile,0.0500,0.2500,0.514286
