Version,Metric,FoodWebs,Mean,Median,SD,Variance
BodyMass WLNM,F1,290,0.6146,0.6633,0.2111,0.0445
BodyMass WLNM,PR-AUC,290,0.5397,0.5469,0.1583,0.0251
BodyMass WLNM,Precision,290,0.9261,0.9588,0.1222,0.0149
BodyMass WLNM,ROC-AUC,290,0.8621,0.894,0.1116,0.0125
BodyMass WLNM,Recall,290,0.504,0.5414,0.2238,0.0501
BodyMass WLNM,MCC,290,0.5836,0.6117,0.1867,0.0348
BodyMass WLNM,TSS,290,0.4826,0.4967,0.2157,0.0465
Modified WLNM,F1,290,0.6755,0.7301,0.2271,0.0516
Modified WLNM,PR-AUC,290,0.5341,0.5475,0.1834,0.0336
Modified WLNM,Precision,290,0.9376,0.9723,0.1173,0.0138
Modified WLNM,ROC-AUC,290,0.8953,0.913,0.0988,0.0098
Modified WLNM,Recall,290,0.5784,0.6085,0.2534,0.0642
Modified WLNM,MCC,290,0.6441,0.6647,0.2089,0.0436
Modified WLNM,TSS,290,0.5586,0.5754,0.2496,0.0623
Original WLNM,F1,290,0.6255,0.6686,0.188,0.0353
Original WLNM,PR-AUC,290,0.5539,0.6028,0.1934,0.0374
Original WLNM,Precision,290,0.6714,0.7187,0.198,0.0392
Original WLNM,ROC-AUC,290,0.8074,0.8355,0.1099,0.0121
Original WLNM,Recall,290,0.606,0.6423,0.1974,0.039
Original WLNM,MCC,290,0.5,0.5437,0.2025,0.041
Original WLNM,TSS,290,0.4791,0.5112,0.1993,0.0397
