benthic detritus,Polyarthra major,-999,8.55e-07
Peridinium inconspicuum,Mesocyclops edax,5.6e-08,1e-05
benthic detritus,Daphnia ambigua,-999,1e-05
Dinobryon sp.,Diaptomus minutus,1.36e-09,1.44e-05
Cosmarium sp.,Holopedium gibberum,3.49e-10,6.82e-05
Oocyctis sp.,Holopedium gibberum,8.61e-08,6.82e-05
Tetraedron minimum,Holopedium gibberum,7.02e-10,6.82e-05
Ceriodaphnia quadrangula,fish fry,5.85e-06,0.016
Mesocyclops edax,fish fry,1e-05,0.016
Peridinium inconspicuum,fish fry,5.6e-08,0.016
Cosmarium sp.,Chrosomus eos,3.49e-10,1.9
benthic detritus,Lepomis gibbosus,-999,2
fish eggs,Lepomis gibbosus,0.0201,2
Mesocyclops edax,Semotilus atromaculatus,1e-05,11
Peridinium inconspicuum,Semotilus atromaculatus,5.6e-08,11
Chrosomus eos,Salvelinus fontinalis,1.9,300
Ictalurus nebulosus,Salvelinus fontinalis,29,300
Notemigonus crysoleucas,Salvelinus fontinalis,8,300
Semotilus atromaculatus,Salvelinus fontinalis,11,300
