Oocyctis sp.,Tropocyclops prasinus,8.61e-08,6.85e-06
nanoflagellates ,Asplanchna sp.,3.49e-12,7.35e-06
Oocyctis sp.,Mesocyclops edax,8.61e-08,1e-05
Chrysocapsa planktonica,fish fry,1e-09,0.016
Scenedesmus longus,fish fry,1.61e-10,0.016
Sphaerocystis schroeteri,fish fry,1.11e-09,0.016
333,4.75e-11
Mesocyclops edax,Nephrocytium sp.,1e-05,6.62e-11
Salvelinus fontinalis,Crucigenia quadrata,333,8.23e-11
Catostomus commersoni,Scenedesmus longus,371,1.61e-10
Conochiloides unicornis,Arthrodesmus incus,3.18e-07,2.39e-10
Chroococcus limneticus,Quadrigula closterioides,1.53e-11,9.48e-10
Asplanchna sp.,Tabellaria fenestrata,7.35e-06,1.07e-09
copepod nauplii,Sphaerocystis schroeteri,0.001812356,1.11e-09
Catostomus commersoni,Dinobryon bavaricum,371,1.36e-09
Chroococcus limneticus,Dinobryon bavaricum,1.53e-11,1.36e-09
Mesocyclops edax,Cocconeia sp.,1e-05,4.23e-09
Conochiloides unicornis,Mallomonas sp.,3.18e-07,5.65e-09
Mesocyclops edax,Mallomonas sp.,1e-05,5.65e-09
Catostomus commersoni,Lyngbya sp.,371,7.39e-09
Holopedium gibberum,Lyngbya sp.,6.82e-05,7.39e-09
fish eggs,Kelicottia longispina,0.0201,2e-08
Chroococcus limneticus,Oocyctis sp.,1.53e-11,8.61e-08
fish eggs,Oocyctis sp.,0.0201,8.61e-08
Fragilaria sp.,Polyarthra remata,2.85e-09,1.99e-07
Fragilaria sp.,Trichocerca pusilla,2.85e-09,7.46e-07
Melosira sp.,Trichocerca pusilla,5.8e-10,7.46e-07
Kelicottia longispina,Bosmina longirostris,2e-08,1.55e-06
Tropocyclops prasinus,Bosmina longirostris,6.85e-06,1.55e-06
Scenedesmus longus,Tropocyclops prasinus,1.61e-10,6.85e-06
Daphnia catawba,Asplanchna sp.,1e-05,7.35e-06
Cocconeia sp.,Mesocyclops edax,4.23e-09,1e-05
Diaphanosoma birgei,Daphnia catawba,4.01e-05,1e-05
Tropocyclops prasinus,Daphnia catawba,6.85e-06,1e-05
Holopedium gibberum,Diaptomus minutus,6.82e-05,1.44e-05
nanoflagellates ,Alona quadrangularis,3.49e-12,4.01e-05
Chrysosphaerella longispina,fish fry,7.65e-10,0.016
Conochiloides unicornis,fish eggs,3.18e-07,0.0201
Cryptomonas erosa,Salvelinus fontinalis,4.75e-11,333
