[INFO] Processing dataset: AEW05_tax_mass
Processing with K = 10, node selection: random
[SweepBackbone] ratioTrain=0.60 | BackboneRatio=0.50 | inverse_backbone=0
[DivideNet] BACKBONE mode ON. ratioTrain=0.600, ratioBackbone=0.500
[DivideNet] BACKBONE mode (STANDARD). ratioTrain=0.600, ratioBackbone=0.500 (interpreted as backboneTrainFrac)
[DivideNet] STANDARD backbone: backboneTrainFrac=0.50 → target backbone TRAIN edges = 212 of 423
[DivideNet] TRAIN total: 1103 (requested 1103)
[DivideNet]  ├─ backbone in TRAIN: 212 (target 212 of 423)
[DivideNet]  └─ non-backbone in TRAIN: 891 of 1416
[DivideNet] TEST total: 736
[Warning: [sample_neg] Pool 44 < need 3678 with role filter. Disabling role filter.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('sample_neg_dir_neg', '/Users/acw792/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/sample_neg_dir_neg.m', 88)" style="font-weight:bold">sample_neg_dir_neg</a> (<a href="matlab: opentoline('/Users/acw792/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/sample_neg_dir_neg.m',88,0)">line 88</a>)
In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('WLNM_dir_neg', '/Users/acw792/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/WLNM_dir_neg.m', 42)" style="font-weight:bold">WLNM_dir_neg</a> (<a href="matlab: opentoline('/Users/acw792/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/WLNM_dir_neg.m',42,0)">line 42</a>)
In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('run_wlnm_dir_neg', '/Users/acw792/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/run_wlnm_dir_neg.m', 168)" style="font-weight:bold">run_wlnm_dir_neg</a> (<a href="matlab: opentoline('/Users/acw792/Developer/qmul-phd-framework/src/matlab/wlnm_version_runners/wlnm_dir_neg/run_wlnm_dir_neg.m',168,0)">line 168</a>)
In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('Main', '/Users/acw792/Developer/qmul-phd-framework/src/matlab/Main.m', 229)" style="font-weight:bold">Main</a> (<a href="matlab: opentoline('/Users/acw792/Developer/qmul-phd-framework/src/matlab/Main.m',229,0)">line 229</a>)] 
[NegPool] pool=13911 need_total=3678 a=2 eval_all=0 role_filter=1 | k_train=2206 k_test=1472
[sample_neg] Final link counts (use_role_filter = 1):
    Train Positive: 1103
    Train Negative: 2206
    Test  Positive: 736
    Test  Negative: 1472
Encoding 3309 subgraphs (K = 10)...
Progress: 10% - Elapsed: 3.4s
Progress: 20% - Elapsed: 4.2s
Progress: 30% - Elapsed: 5.2s
Progress: 40% - Elapsed: 6.0s
Progress: 50% - Elapsed: 6.8s
Progress: 60% - Elapsed: 7.5s
Progress: 70% - Elapsed: 8.2s
Progress: 80% - Elapsed: 9.0s
Progress: 90% - Elapsed: 9.9s
Progress: 100% - Elapsed: 10.6s
Done. Total time: 10.6s
Encoding 2208 subgraphs (K = 10)...
Progress: 10% - Elapsed: 0.4s
Progress: 20% - Elapsed: 0.8s
Progress: 30% - Elapsed: 1.2s
Progress: 40% - Elapsed: 1.6s
Progress: 50% - Elapsed: 2.0s
Progress: 60% - Elapsed: 2.4s
Progress: 70% - Elapsed: 2.8s
Progress: 80% - Elapsed: 3.2s
Progress: 90% - Elapsed: 3.6s
Progress: 100% - Elapsed: 3.9s
Done. Total time: 4.0s
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:00 |       63.28% |       0.6917 |          0.1000 |
|       2 |          50 |       00:00:00 |       85.16% |       0.3487 |          0.1000 |
|       4 |         100 |       00:00:00 |       89.06% |       0.2985 |          0.1000 |
|       6 |         150 |       00:00:00 |       88.28% |       0.2925 |          0.1000 |
|       8 |         200 |       00:00:00 |       89.06% |       0.2861 |          0.1000 |
|      10 |         250 |       00:00:00 |       88.28% |       0.2795 |          0.1000 |
|      12 |         300 |       00:00:00 |       87.50% |       0.2819 |          0.0900 |
|      14 |         350 |       00:00:00 |       92.19% |       0.2269 |          0.0900 |
|      16 |         400 |       00:00:00 |       94.53% |       0.2163 |          0.0900 |
|      18 |         450 |       00:00:00 |       92.19% |       0.2173 |          0.0900 |
|      20 |         500 |       00:00:00 |       91.41% |       0.2025 |          0.0900 |
|      22 |         550 |       00:00:01 |       94.53% |       0.1808 |          0.0810 |
|      24 |         600 |       00:00:01 |       93.75% |       0.1941 |          0.0810 |
|      26 |         650 |       00:00:01 |       92.97% |       0.1857 |          0.0810 |
|      28 |         700 |       00:00:01 |       92.19% |       0.1970 |          0.0810 |
|      30 |         750 |       00:00:01 |       93.75% |       0.1606 |          0.0810 |
|      32 |         800 |       00:00:01 |       91.41% |       0.1866 |          0.0729 |
|      34 |         850 |       00:00:01 |       92.19% |       0.2036 |          0.0729 |
|      36 |         900 |       00:00:01 |       92.97% |       0.1795 |          0.0729 |
|      38 |         950 |       00:00:01 |       92.19% |       0.1869 |          0.0729 |
|      40 |        1000 |       00:00:01 |       93.75% |       0.1870 |          0.0729 |
|      42 |        1050 |       00:00:01 |       92.19% |       0.1856 |          0.0656 |
|      44 |        1100 |       00:00:02 |       93.75% |       0.1639 |          0.0656 |
|      46 |        1150 |       00:00:02 |       90.62% |       0.1756 |          0.0656 |
|      48 |        1200 |       00:00:02 |       92.97% |       0.1457 |          0.0656 |
|      50 |        1250 |       00:00:02 |       92.19% |       0.1355 |          0.0656 |
|      52 |        1300 |       00:00:02 |       92.97% |       0.1555 |          0.0590 |
|      54 |        1350 |       00:00:02 |       92.97% |       0.1674 |          0.0590 |
|      56 |        1400 |       00:00:02 |       92.97% |       0.1503 |          0.0590 |
|      58 |        1450 |       00:00:02 |       92.19% |       0.1333 |          0.0590 |
|      60 |        1500 |       00:00:02 |       92.19% |       0.1505 |          0.0590 |
|      62 |        1550 |       00:00:02 |       92.97% |       0.1650 |          0.0531 |
|      64 |        1600 |       00:00:02 |       94.53% |       0.1531 |          0.0531 |
|      66 |        1650 |       00:00:03 |       93.75% |       0.1398 |          0.0531 |
|      68 |        1700 |       00:00:03 |       96.88% |       0.1224 |          0.0531 |
|      70 |        1750 |       00:00:03 |       94.53% |       0.1186 |          0.0531 |
|      72 |        1800 |       00:00:03 |       93.75% |       0.1317 |          0.0478 |
|      74 |        1850 |       00:00:03 |       95.31% |       0.1514 |          0.0478 |
|      76 |        1900 |       00:00:03 |       94.53% |       0.1386 |          0.0478 |
|      78 |        1950 |       00:00:03 |       96.09% |       0.1202 |          0.0478 |
|      80 |        2000 |       00:00:03 |       95.31% |       0.1309 |          0.0478 |
|      82 |        2050 |       00:00:03 |       94.53% |       0.1300 |          0.0430 |
|      84 |        2100 |       00:00:03 |       95.31% |       0.1221 |          0.0430 |
|      86 |        2150 |       00:00:03 |       94.53% |       0.1148 |          0.0430 |
|      88 |        2200 |       00:00:03 |       96.09% |       0.1184 |          0.0430 |
|      90 |        2250 |       00:00:03 |       94.53% |       0.1262 |          0.0430 |
