CruiseName,CruiseStationNumber,ShotLatDecimalDegrees,ShotLonDecimalDegrees,DateTimeShot,TowDuration,CatchNumber,CatchWeight,MainSpeciesCode,ValidityCode,SurfaceTemp,BottomTemp,SurfaceSalinity,BottomSalinity,ShotDepth
BORE/01/1948,1,74.833,18.666,10/10/1948 07:55,60,0,305,COD,V,NA,NA,NA,NA,64
BORE/01/1948,2,75.066,18.183,10/10/1948 11:10,120,0,762,COD,V,NA,NA,NA,NA,82
BORE/01/1948,3,75.066,18.183,10/10/1948 13:45,60,0,305,COD,V,NA,NA,NA,NA,82
BORE/01/1948,4,75.066,18.183,10/10/1948 18:00,120,0,762,COD,V,NA,NA,NA,NA,95
BORE/01/1948,5,75.066,18.183,10/10/1948 20:40,125,0,2858,COD,V,NA,NA,NA,NA,91
BORE/01/1948,6,75.066,18.183,10/10/1948 23:30,120,0,1334,COD,V,NA,NA,NA,NA,101
BORE/01/1948,7,75.066,18.183,11/10/1948 02:05,120,0,1905,COD,V,NA,NA,NA,NA,110
BORE/01/1948,8,75.066,18.183,11/10/1948 04:30,120,0,2667,COD,V,NA,NA,NA,NA,110
BORE/01/1948,9,75.066,18.183,11/10/1948 07:10,90,0,762,COD,V,NA,NA,NA,NA,119
BORE/01/1948,10,75.066,18.183,11/10/1948 09:10,85,0,381,COD,V,NA,NA,NA,NA,110
BORE/01/1948,11,75.066,18.183,11/10/1948 11:10,90,0,381,COD,V,NA,NA,NA,NA,128
BORE/01/1948,12,75.066,18.183,11/10/1948 13:10,120,0,1905,COD,V,NA,NA,NA,NA,119
BORE/01/1948,13,75.066,18.183,11/10/1948 15:45,110,0,762,COD,V,NA,NA,NA,NA,119
BORE/01/1948,14,75.066,18.183,11/10/1948 18:10,120,0,762,COD,V,NA,NA,NA,NA,128
BORE/01/1948,15,75.066,18.183,11/10/1948 20:50,120,0,38,COD,V,NA,NA,NA,NA,128
BORE/01/1948,16,75.066,18.183,11/10/1948 23:30,120,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,17,75.066,18.183,12/10/1948 02:30,110,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,18,75.066,18.183,12/10/1948 05:00,120,0,953,COD,V,NA,NA,NA,NA,128
BORE/01/1948,19,75.066,18.183,12/10/1948 07:45,120,0,191,COD,V,NA,NA,NA,NA,119
BORE/01/1948,20,75.066,18.183,12/10/1948 10:00,120,0,572,COD,V,NA,NA,NA,NA,119
BORE/01/1948,21,75.066,18.183,12/10/1948 12:30,120,0,762,COD,V,NA,NA,NA,NA,128
BORE/01/1948,22,75.333,17.416,12/10/1948 15:15,140,0,3239,COD,V,NA,NA,NA,NA,146
BORE/01/1948,23,75.333,17.416,12/10/1948 18:15,90,0,1715,COD,V,NA,NA,NA,NA,137
BORE/01/1948,24,75.333,17.416,12/10/1948 20:30,90,0,1524,COD,V,NA,NA,NA,NA,137
BORE/01/1948,25,75.333,17.416,12/10/1948 22:50,90,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,26,75.333,18.416,13/10/1948 01:00,90,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,27,75.333,17.416,13/10/1948 03:15,90,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,28,75.333,17.416,13/10/1948 05:15,120,0,1715,COD,V,NA,NA,NA,NA,137
BORE/01/1948,29,75.333,17.416,13/10/1948 08:05,105,0,572,COD,V,NA,NA,NA,NA,137
BORE/01/1948,30,75.333,17.416,13/10/1948 10:30,110,0,762,COD,V,NA,NA,NA,NA,137
BORE/01/1948,31,75.333,17.416,13/10/1948 12:50,110,0,572,COD,V,NA,NA,NA,NA,137
BORE/01/1948,32,75.333,17.416,13/10/1948 15:10,120,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,33,75.333,17.416,13/10/1948 19:00,90,0,305,COD,V,NA,NA,NA,NA,137
BORE/01/1948,34,75.333,17.416,13/10/1948 21:10,90,0,38,COD,V,NA,NA,NA,NA,137
BORE/01/1948,35,75.333,17.416,13/10/1948 23:30,120,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,36,75.1,17.466,14/10/1948 02:15,120,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,37,75.1,17.466,14/10/1948 05:00,120,0,762,COD,V,NA,NA,NA,NA,146
BORE/01/1948,38,75.1,17.466,14/10/1948 07:50,90,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,39,75.1,17.466,14/10/1948 09:55,120,0,3048,COD,V,NA,NA,NA,NA,165
BORE/01/1948,40,75.1,17.466,14/10/1948 13:10,95,0,457,COD,V,NA,NA,NA,NA,128
BORE/01/1948,41,75.1,17.466,14/10/1948 15:20,85,0,1143,COD,V,NA,NA,NA,NA,165
BORE/01/1948,42,75.1,17.466,14/10/1948 17:25,120,0,1143,COD,V,NA,NA,NA,NA,165
BORE/01/1948,43,75.1,17.466,14/10/1948 19:50,60,0,191,COD,V,NA,NA,NA,NA,165
BORE/01/1948,44,75.116,17.6,15/10/1948 06:05,60,0,2286,COD,V,NA,NA,NA,NA,183
BORE/01/1948,45,75.116,17.6,15/10/1948 08:00,60,0,1524,COD,V,NA,NA,NA,NA,183
BORE/01/1948,46,75.116,17.6,15/10/1948 10:10,90,0,1715,COD,V,NA,NA,NA,NA,183
BORE/01/1948,47,75.116,17.6,15/10/1948 12:05,120,0,38,COD,V,NA,NA,NA,NA,174
BORE/01/1948,48,75.183,17.683,15/10/1948 14:55,90,0,1867,COD,V,NA,NA,NA,NA,183
BORE/01/1948,49,75.183,17.683,15/10/1948 17:10,70,0,3582,COD,V,NA,NA,NA,NA,146
BORE/01/1948,50,75.183,17.683,15/10/1948 21:55,65,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,51,75.183,17.683,15/10/1948 23:40,110,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,52,75.183,17.683,16/10/1948 02:10,75,NA,0,NA,NA,NA,NA,NA,NA,NA
BORE/01/1948,53,75.183,17.683,16/10/1948 03:55,95,0,2858,COD,V,NA,NA,NA,NA,128
