Score,Label
6.68496e-06,1
6.68496e-06,1
0.7445111,1
0.01350341,1
0.005764163,1
0.2831715,1
0.0003845198,1
0.1266052,1
0.7445111,1
0.6037764,1
0.2930293,1
0.2930293,1
0.0003005516,1
0.7445111,1
0.0003775765,1
2.038938e-05,1
0.9995039,1
0.99986,1
2.038938e-05,1
1.457667e-07,1
1.457667e-07,1
0.06287532,1
1.457667e-07,1
1.457667e-07,1
3.268795e-08,1
0.7445111,1
0.7445111,1
0.8313371,1
0.002056758,1
0.7445111,1
0.7445111,1
0.00035246,1
0.7445111,1
4.482347e-06,1
0.1589214,1
4.527283e-05,1
0.8313371,1
0.08234877,1
0.1058497,1
0.8313371,1
0.8313371,1
8.487134e-08,1
0.8313371,1
9.322324e-05,1
0.7445111,1
0.1736498,1
0.8313371,1
0.006487661,1
0.7445111,1
0.7445111,1
0.007048928,1
0.7445111,1
0.8313371,1
0.8313371,1
0.8313371,1
0.8313371,1
0.8313371,1
0.7445111,1
0.227478,1
0.2930293,1
0.2930293,1
0.2930293,1
0.2930293,1
0.7445111,1
0.8313371,1
0.5745052,1
0.7445111,1
0.0001930489,1
0.7445111,1
0.7445111,1
3.204561e-06,1
0.007788823,1
0.8313371,1
0.008739491,1
0.0007125498,1
0.8313371,1
0.8313371,1
0.1158754,1
0.8313371,1
0.008010691,1
0.000273999,0
0.6037764,0
0.0003463257,0
0.008010691,0
0.6037764,0
0.9520556,0
1.145725e-06,0
0.5825871,0
7.550117e-07,0
0.7445111,0
0.0003091169,0
2.735473e-05,0
1.150741e-05,0
0.0002513051,0
0.6037764,0
3.489262e-06,0
0.6037764,0
0.007048928,0
0.003926153,0
0.0007125498,0
5.260521e-06,0
0.004605544,0
9.030706e-06,0
5.260521e-06,0
0.3925694,0
0.0003845198,0
0.956699,0
0.1217247,0
0.6037764,0
0.7445111,0
0.1217247,0
0.0001882235,0
0.000273999,0
0.6037764,0
0.0003463257,0
7.550117e-07,0
0.004485642,0
0.002155532,0
0.7445111,0
0.1414858,0
0.1253458,0
0.004557935,0
0.3687737,0
0.1266052,0
0.1414858,0
0.6037764,0
0.0009524082,0
9.657019e-05,0
0.0008143228,0
0.7445111,0
0.003041257,0
3.887276e-05,0
0.000273999,0
0.02359841,0
0.004605544,0
0.1217247,0
0.1736498,0
0.0007125498,0
1.367895e-05,0
0.2418089,0
0.6037764,0
0.0007125498,0
0.004536831,0
2.399448e-05,0
0.001592266,0
0.003398542,0
0.1414858,0
0.001405668,0
0.7445111,0
0.7445111,0
0.005459961,0
1.140201e-06,0
0.000273999,0
0.6037764,0
9.896918e-06,0
0.2930293,0
0.7445111,0
0.0007125498,0
0.0003463257,0
0.7445111,0
0.1414858,0
0.008522875,0
0.7445111,0
0.0007125498,0
0.7445111,0
0.000273999,0
1.419643e-05,0
1.03173e-05,0
1.140201e-06,0
0.0012933,0
0.003271026,0
0.6037764,0
0.0001721081,0
0.00279831,0
0.004425652,0
0.0002513051,0
8.714192e-06,0
0.6650113,0
0.0008143228,0
0.001020215,0
0.0002513051,0
0.04060426,0
0.6037764,0
0.3687737,0
2.451477e-05,0
0.0002253658,0
0.2454376,0
0.1217247,0
0.000273999,0
7.550117e-07,0
0.1217247,0
0.1266052,0
1.41969e-06,0
0.1736498,0
1.371573e-07,0
7.923568e-05,0
0.009131063,0
0.1414858,0
0.000273999,0
0.6650113,0
5.260521e-06,0
0.001656326,0
0.0001070056,0
0.1266052,0
0.0007140304,0
0.6037764,0
2.399448e-05,0
8.821301e-06,0
0.001179954,0
0.0007125498,0
0.005026265,0
0.003271026,0
2.747871e-05,0
0.007048928,0
0.7445111,0
0.08252078,0
0.6037764,0
0.000273999,0
2.038938e-05,0
0.1597918,0
0.9429429,0
6.188286e-08,0
0.0005651803,0
0.6037764,0
5.179559e-07,0
8.115029e-05,0
0.0007798512,0
0.299762,0
8.714192e-06,0
0.6037765,0
0.0008143228,0
0.1414858,0
1.231171e-06,0
0.2536769,0
0.0002513051,0
0.0003463257,0
0.0002513051,0
0.7837824,0
0.000273999,0
0.000273999,0
